,AU565,BT-20,BT-474,BT-549,CAL-120,CAL-148,CAMA-1,EFM-19,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC1806,HCC1937,HCC1954,HCC202,HCC3153,HCC38,HCC70,HDQ-P1,Hs 578T,JIMT-1,KPL-1,MCF-7,MCF-7/LY2,MDA-MB-157,MDA-MB-175-VII,MDA-MB-231,MDA-MB-361,MDA-MB-436,MDA-MB-468,MX-1,SK-BR-3,SK-BR-7,SUM149PT,SUM159PT,T-47D,UACC-812,ZR-75-1
2257,0.115575925539029,0.227645058165914,0.0290968655485258,0.336380570791304,0.10018100832275,0.334029548370277,0.102105691014838,0.293577731392134,0.322868232415871,0.364325251609933,0.103449618003338,0.0291362363190031,0.151190485284178,0.343455115924881,0.260348408321084,0.338663328963639,0.273312382264407,0.156194997247452,0.0693328794081387,0.279760340417804,0.0985681531490787,0.185681057653966,0.00492627583530277,0.234127703380784,0.288404871647448,0.164061257474072,0.0408008755647346,0.107142415371403,0.330052248656415,0.274439563265552,0.289580099135692,0.350473061815187,0.494613068771894,0.0409764187127324,0.117373694914523,0.68677304561197,0.243695238890131,0.176810591592707,0.132494241794437,0.233386694678689
945,0.10787297776717,0.651527475549797,0.0457170885385916,0.445241310552184,0.211025818392965,0.0692610721550428,0.351422036933682,0.0585589852302857,0.235678365972349,0.703766027008221,0.115725116849257,0.033897524432281,0.0314378297246259,0.341314504546841,0.0495086002242202,0.138825369922353,0.309921779591543,0.0156735713505054,0.0412524711993423,0.102214063449993,0.147365799978386,0.479822812624687,0.0290499477356158,0.285274397401552,0.505800528258528,0.369618219645263,0.164562432840744,0.270802530414363,0.426101453578412,0.190433819884909,0.365011551549938,0.657822683179729,0.301900342910832,0.271362377249888,0.385707428671853,0.64818544426749,0.434585963607603,0.293106995779643,0.295448412827647,0.413849637494189
AZD6244,0.175919373549696,NA,NA,0.397700206541867,NA,NA,NA,NA,0.628649352587245,0.560902337977677,NA,0.137609959147809,NA,0.562665485593459,0.463744484477795,NA,0.203705700144195,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219826265999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120089403969133
BM,0.24596587284088,0.468581526595338,0.361697527695123,0.482001454796105,0.488612101552237,0.526033512412456,0.365783930543998,0.355210101150735,0.351570685678401,0.708651038414219,0.336947542549128,0.248034336875494,0.24753130886532,0.606068993666923,0.359201762978258,0.37186357150544,0.352076943039664,0.236596924224497,0.49076182328671,0.257196460155485,0.458079770648303,0.353890577164091,0.112836027884873,0.482884854720884,0.481781072530608,0.365779547227834,0.218076453840093,0.223337801353794,0.528020888090199,0.243293820982361,0.453897309720903,0.368104184067638,0.231345002205033,0.232631990597983,0.368437389972062,0.47743623723147,0.376220673745498,0.249323901127953,0.450550591310068,0.366958849019157
BYL719,0.348408581853513,0.327937931062624,0.45690774507642,0.235297829331565,0.129780756078992,0.450343335300238,0.0520033960372076,0.608966014997953,0.129436244404537,NA,0.115540437887469,0.314738881245646,0.0537422024247724,0.125913446956477,0.126756960724558,0.40757778886486,0.457363211741761,0.117375156550321,0.124139078428566,0.146485246952054,NA,0.125037386474823,0.353091166685664,0.361071237131527,0.577459233631008,0.349018526237828,NA,NA,0.128265549627697,0.459793632836564,0.116405941567248,0.137320257337829,0.111961374025663,0.470406147429569,0.230155810776504,0.246782040619488,0.248533407765024,0.457231871641094,0.364737495688888,0.245334353758474
Carboplatinum,0.583406722146783,0.512572593128146,0.337261605248464,0.0745468143856699,0.461267449160329,0.661997815293929,0.508794401847227,0.465578305275922,0.476272956960555,NA,0.6752925672913,0.335289100063012,0.0626840873022696,0.65815682159523,0.472437257475574,0.60547101233909,0.453473690406431,0.53548193775507,0.578477007636406,0.609153917265866,NA,0.468970061453696,0.587451788982517,0.470812660756378,0.587470362609708,0.445251192672677,NA,NA,0.619712904085193,0.606515123879367,0.839402077382833,0.760158758966951,0.432859244704463,0.586202884420463,0.356710637499543,0.834296475681868,0.605620035367819,0.573857106389963,0.700773592052015,0.442382097851984
CX35,0.465392666389666,0.602270645346373,0.358719338139281,0.49353479485258,0.495780166949306,0.730795589673475,0.37117681204426,0.517328452732956,0.484016168476031,0.726915303258381,0.349356982296898,0.108220926938701,0.026449581061316,0.600242099468642,0.364452285414819,0.527610983818431,0.405690075241942,0.398042086995955,0.489605353687156,0.372127921471496,0.551161688942068,0.489396083633371,0.0353403035062744,0.576647935837329,0.490514454672846,0.520624846718785,0.215306566143437,0.143368498780318,0.67020323593498,0.482497419197721,0.872537166011783,0.496712241984544,0.355796173314927,0.330736317493805,0.558781319157995,0.851035323899643,0.623008502973997,0.448423183271254,0.57216641644819,0.468778109060489
CX54,0.46394106776787,0.618335585827889,0.367266261685461,0.56142068070651,0.617417885034061,0.717080111043438,0.492569194050882,0.504997134690215,0.484844836765768,0.597105402615297,0.499134988179721,0.210923775833332,0.030449611633423,0.584277836908946,0.370557923798251,0.508320518583104,0.146301027269632,0.235940416937257,0.490447939214773,0.257920219707041,0.567221689942135,0.48979759062452,0.0355286863305472,0.530202000002271,0.490523028729886,0.494663595886274,0.419244744954606,0.144002613455891,0.66656300536715,0.488774036299699,0.866679867231558,0.616304752000018,0.348066285080951,0.430971426708257,0.530532226475408,0.864742641496749,0.644349936761952,0.423636976338477,0.627434329290298,0.461804588616974
Dipyridamole,0.160454848925509,0.038812884322711,0.0587094972377212,0.0763790331749008,0.0593392356824949,0.0301016488727758,0.0610800928839284,0.0445069834273486,0.0170892682154219,NA,0.0747916649027572,0.0230999164442353,0.0374301501233685,0.0746314286041485,0.0522814631746608,0.1678085808833,0.0183943134330263,0.0403630254452055,0.0915336752307028,0.0496696683899128,NA,0.0713913832772271,0.152319293849864,0.157672521705853,0.0842757572965119,0.154485300342921,NA,NA,0.149164649142194,0.00944598720586204,0.139615962788797,0.0911614054905772,0.0637742662481658,0.00873565040837825,0.0242402495033482,0.0605057710353844,0.0471222589590068,0.160907468027055,0,0.0657404029351634
Epirubicin,0.584038007110387,0.551073199438479,0.47312078942331,0.601841681616812,0.58424636869095,0.778268497978451,0.603167611223132,0.604857724666748,0.459542525376947,NA,0.470808233710063,0.246301638610221,0.454122458234747,0.558993127199704,0.359328384462317,0.666193240756636,0.463123025890746,0.48570440135542,0.68865569903347,0.486327314181896,NA,0.583836723601311,0.602725101482525,0.595844153081602,0.465706376152449,0.556160789148708,NA,NA,0.653150625630773,0.321815715005547,0.658014428216508,0.713867694749343,0.240633423504353,0.468778876971057,0.485610472943284,0.720334441865464,0.611440283436961,0.589760156533123,0.605164554491518,0.50779114347006
Eribulin,0.590051553704031,0.322692061155283,0.439063248852813,0.442666155646562,0.318220406101944,0.441119944976194,0.445884264350331,0.476512152464534,0.0646347128959178,NA,0.44637933489567,0.00189856819026212,0.386405003743689,0.442229367367698,0.270141427695282,0.575628048072206,0.535184618500145,0.326850112681973,0.444954485369725,0.119492754167211,NA,0.315117092054112,0.596353512322065,0.398615992927458,0.458215369535259,0.314598242653687,NA,NA,0.310314716184895,0.35923337126108,0.452304389458183,0.474979508023438,0.0367726959970333,0.421767842272743,0.335927432811341,0.34848817162066,0.251800023107517,0.302843078276296,0.435012666760735,0.270079693810509
Erlotinib,0.264664024077649,NA,NA,0.206456755786979,NA,NA,NA,NA,0.0455452256515827,NA,NA,0.113341630665747,NA,0.284740920348769,0.37470823815704,NA,0.201658120809434,NA,NA,NA,0.37269985602026,NA,NA,NA,NA,NA,0.0283705871799614,NA,0.099175545411923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200170831127937
Fluvastatin,0.260806042121733,0.353416954184327,0.00446607416073767,0.373584206383457,0.366241690312955,0.449924938293452,0.143694540178308,0.299478837115615,0.161749792933717,NA,0.248285300570053,0.327024132237479,0.159358889376387,0.468513809161503,0.562126215939504,0.259180287390748,0.158456387294688,0.360298392212683,0.355909226932562,0.376607206896069,NA,0.162459309174591,0.268006486257098,0.327616285501259,0.151674015460081,0.0592604816200612,NA,NA,0.691521407322458,0.598683218624228,0.347717414570764,0.273439880113621,0.355542165224491,0.768882682264875,0.586684316709046,0.422286078805377,0.596942660233117,0.170370512449913,0.262185870686663,0.297354265925855
GSK591,0.0937483503824849,0.0296923308047116,0.0260148916008614,0.0312160001798406,0.0984337400459964,0.334519325802899,0.0131140567082698,0.312522348458753,0.0241496984267082,NA,0.0251537758709497,0.00298754396797383,0.174185843117117,0.188998852244321,0.03602017700835,0.158515525411628,0.0250225704300929,0.00411507797784471,0.180869657470734,0.0265424339082019,NA,0.0182116498719529,0.401615304374167,0.169472534460132,0.0423828427084651,0.0403243752353948,NA,NA,0.0333361612976396,0.13905258266935,0.0654908015129164,0.127974113632598,0.00672084716396798,0.062700270181675,0.0187427159670825,0.0332856304507406,0.0140580234122232,0.0295948851759937,0.0220643298799066,0.223322412405531
GSKLSD1,0.00504544359774561,0.00621787937117431,0.00568704462018306,0,0.0016034770951471,0.0121194086591382,0,0.00840734660644881,0.00305314437519754,NA,0,0,0,0.00253937333821958,0,0,0.0188378312335517,0.0262205500894056,0.00719278638415408,0,NA,0,0.0021537612803859,0.0234138447025587,0,0.0483590175671555,NA,NA,0.00735136003039699,0.0904877848896585,0.00202960662713059,0.000989129999397034,0.00185650661834392,0,0,0.301285412714556,0,0.011103603534037,0,0.0265749026154477
Trastuzumab,0.263719287735076,0,0.587147930673277,0,0,0,0,0.0152956701887105,0,NA,0,0.00659154699914223,0.0037258974154113,0,0,0,0.0150462238516955,0,0,0,NA,0,0.0178020380077595,0,0,0,NA,NA,0,0.00759965710015586,0.0123093461814605,0,0.0310872722322665,0.477353990906692,0,0.0190827747042824,0,0.0252490668855828,0.457605440676619,0
Lapatinib,0.68973814952586,0.13374349890886,0.721241958423014,0.262835422702398,0.171357774117405,0.133574599297597,0.149274221197909,0.135479095722394,0.316019369652243,0.920358219860169,0.227888833169857,0.571879289703686,0.132104897735235,0.1554725578143,0.275944168969096,0.53821398907572,0.554395544859668,0.147832253028259,0.131499248488788,0.27056842724642,NA,0.145415817212718,0.368643105211568,0.196798449265974,0.293632047931036,0.152493711675959,0.10581949834797,NA,0.151916902555655,0.279679740512687,0.188762012207076,0.394099705535314,0.141724544476915,0.747400399511541,0.233895974533024,0.610591925027026,0.381259452659991,0.246024432220254,0.863388658058724,0.14686257534885
Olaparib,0.0289658692430265,0.0221733422577096,0.00465742923566342,0.02537137313587,0.0453000135005334,0.111614409736851,0.0210916655592075,0.111870514621979,0.041834988443936,0.422505276135806,0.278605803928823,0.0076524782329144,0.0232376290278394,0.224901132437593,0.026088076219385,0.034939289003958,0.0375872226627296,0.0205744775522077,0.140136154709624,0.0143272425236615,0.0166886463631676,0.0377631292600789,0.0310272236606386,0.208651574399379,0.0473685497845434,0.0317509964797015,0.0403889032579086,0.0200645423068991,0.0407456869159965,0.131138889403993,0.500088813886378,0.12717195405358,0.010632712050037,0.0240872634907927,0.171030327345908,0.36046422774227,0.144461645585135,0.0325502181231209,0.0600172868380232,0.0235641671262203
